#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,XXX
Mesorhizobium hungaricum,Bacteria;Proteobacteria;Alphaproteobacteria,UASWS1009,SAMN03219998,PRJNA268581,GCA_001705425.1,Contig,6.30326,63,,MDEO01,41,5949,2016-08-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/705/425/GCA_001705425.1_ASM170542v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/705/425/GCF_001705425.1_ASM170542v1,XXX
Mesorhizobium ephedrae,Bacteria;Proteobacteria;Alphaproteobacteria,6GN-30,SAMN08707968,PRJNA438220,GCA_003012745.1,Contig,6.11227,66.4,,PXYK01,115,5725,2018-03-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/012/745/GCA_003012745.1_ASM301274v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/012/745/GCF_003012745.1_ASM301274v1,XXX
Mesorhizobium carbonis,Bacteria;Proteobacteria;Alphaproteobacteria,B2.3,SAMN10531474,PRJNA508824,GCA_003970795.1,Contig,5.34595,66,,RWKW01,188,4973,2018-12-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/970/795/GCA_003970795.1_ASM397079v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/970/795/GCF_003970795.1_ASM397079v1,XXX
Mesorhizobium composti,Bacteria;Proteobacteria;Alphaproteobacteria,CC-YTH430,SAMN11382006,PRJNA531781,GCA_004801285.1,Contig,4.65354,65.2,,SSNY01,36,4380,2019-04-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/801/285/GCA_004801285.1_ASM480128v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/801/285/GCF_004801285.1_ASM480128v1,XXX
Mesorhizobium metallidurans STM 2683,Bacteria;Proteobacteria;Alphaproteobacteria,STM 2683,SAMEA2272539,PRJEB1501,GCA_000350085.1,Contig,6.23253,62.5,,CAUM01,191,5734,2013-03-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/085/GCA_000350085.1_ASM35008v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/085/GCF_000350085.1_ASM35008v1,XXX
Mesorhizobium erdmanii,Bacteria;Proteobacteria;Alphaproteobacteria,NZP2014,SAMN05172962,PRJNA496338,GCA_013170725.1,Complete,6.60222,62.9,chromosome:NZ_CP033361.1/CP033361.1,,1,6126,2020-05-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/170/725/GCA_013170725.1_ASM1317072v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/170/725/GCF_013170725.1_ASM1317072v1,XXX
Mesorhizobium muleiense,Bacteria;Proteobacteria;Alphaproteobacteria,CGMCC 1.11022,SAMN05428953,PRJEB15963,GCA_900099905.1,Scaffold,6.80996,62.3,,FNEE01,61,6196,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/099/905/GCA_900099905.1_IMG-taxon_2675903064_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/099/905/GCF_900099905.1_IMG-taxon_2675903064_annotated_assembly,XXX
Mesorhizobium prunaredense,Bacteria;Proteobacteria;Alphaproteobacteria,1,SAMEA31222168,PRJEB18586,GCA_900156895.1,Scaffold,7.01387,62.1,,FTPD01,82,6398,2017-02-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/156/895/GCA_900156895.1_BQ8794_STM4891T,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/156/895/GCF_900156895.1_BQ8794_STM4891T,XXX
Mesorhizobium temperatum,Bacteria;Proteobacteria;Alphaproteobacteria,SDW018,SAMN07259767,PRJNA391225,GCA_002284575.1,Contig,7.16536,61.9,,NPKJ01,77,6534,2017-08-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/284/575/GCA_002284575.1_ASM228457v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/284/575/GCF_002284575.1_ASM228457v1,XXX
Mesorhizobium soli,Bacteria;Proteobacteria;Alphaproteobacteria,JCM 19897,SAMN08708030,PRJNA438221,GCA_003012705.1,Contig,6.26718,62.6,,PXYL01,118,5851,2018-03-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/012/705/GCA_003012705.1_ASM301270v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/012/705/GCF_003012705.1_ASM301270v1,XXX
Mesorhizobium helmanticense,Bacteria;Proteobacteria;Alphaproteobacteria,CSLC115N,SAMN08802955,PRJNA445923,GCA_003034915.1,Contig,6.87964,62.4,,PZJX01,145,6386,2018-04-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/034/915/GCA_003034915.1_ASM303491v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/034/915/GCF_003034915.1_ASM303491v1,XXX
Mesorhizobium wenxiniae,Bacteria;Proteobacteria;Alphaproteobacteria,WYCCWR 10195,SAMN07259541,PRJNA391216,GCA_002284535.1,Scaffold,6.68185,61.9,,NPKH01,43,6076,2017-08-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/284/535/GCA_002284535.1_ASM228453v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/284/535/GCF_002284535.1_ASM228453v1,XXX
