"Mesorhizobium_albiziae_DSM_21822__F3H98_RS13100__NZ_FOSL01000006__8190"	"Mesorhizobium_alhagi_CCNWXJ12-2__MAXJ12_RS33695__NZ_AHAM01000338__11630"	"Mesorhizobium_amorphae_CCNWGS0123__A6B35_RS32515__NZ_CP015322__24488"	"Mesorhizobium_atlanticum_CNPSo_3140__DPM35_RS29965__NZ_QMBQ01000012__26941"	"Mesorhizobium_atlanticum_CNPSo_3140__DPM35_RS29975__NZ_QMBQ01000012__26943"	"Mesorhizobium_australicum_WSM2073__MESAU_RS28720__NC_019973__36576"	"Mesorhizobium_camelthorni_CCNWXJ_40-4__G6N73_RS13035__NZ_JAAKZF010000014__38134"	"Mesorhizobium_caraganae_CCBAU_01502__AK97_RS07135__NZ_JHQT01000021__45895"	"Mesorhizobium_carmichaelinearum_ICMP_18942__CKW40_RS39165__NZ_FZQR01000048__56101"	"Mesorhizobium_carmichaelinearum_ICMP_18942__CKW40_RS41875__NZ_FZQR01000087__60784"	"Mesorhizobium_ciceri_ca181__M1C_RS30630__NZ_CM002796__68332"	"Mesorhizobium_ciceri_CC1192__A4R28_RS22175__NZ_CP015062__72997"	"Mesorhizobium_ciceri_WSM1271__MESCI_RS29280__NC_014923__80879"	"Mesorhizobium_ciceri_WSM1284__A4R29_RS04435__NZ_CP015064__82305"	"Mesorhizobium_delmotii_STM_462__BQ8482_RS31410__NZ_FUIG01000058__97795"	"Mesorhizobium_erdmanii_NZP2014__EB233_RS29205__NZ_CP033361__114712"	"Mesorhizobium_hawassense_AC99b__DPM33_RS28235__NZ_QMBP01000018__117860"	"Mesorhizobium_helmanticense_CSLC115N__C9427_RS31430__NZ_PZJX01000067__128062"	"Mesorhizobium_huakuii_583__HB778_RS39665__NZ_CP050299__135187"	"Mesorhizobium_huakuii_7653R__MCHK_RS35000__NZ_CP006583__141988"	"Mesorhizobium_huakuii_7653R__MCHK_RS35005__NZ_CP006583__141990"	"Mesorhizobium_intechi_BD68__C1D09_RS12115__NZ_PNOT02000138__153439"	"Mesorhizobium_japonicum_MAFF_303099__MAFF_RS25245__NC_002678__158971"	"Mesorhizobium_japonicum_R7A__R7A2020_RS29365__NZ_CP051772__167127"	"Mesorhizobium_jarvisii_ATCC_700743__EB229_RS31445__NZ_CP033507__173672"	"Mesorhizobium_kowhaii_Ach-343__B5V02_RS38030__NZ_MZXV01000084__179981"	"Mesorhizobium_loti_582__HB777_RS39685__NZ_CP050295__188899"	"Mesorhizobium_loti_NZP2037__A9174_RS31140__NZ_CP016079__201414"	"Mesorhizobium_loti_NZP2042__EB815_RS31055__NZ_CP033334__208380"	"Mesorhizobium_loti_R88b__EB235_RS32400__NZ_CP033367__215123"	"Mesorhizobium_loti_SU343__EFV37_RS31450__NZ_CP033368__221673"	"Mesorhizobium_loti_TONO__MLTONO_RS27580__NZ_AP017605__227670"	"Mesorhizobium_metallidurans_STM_2683__MESS2_RS28965__NZ_CAUM01000171__230429"	"Mesorhizobium_muleiense_CGMCC_1.11022__BLT09_RS32840__NZ_FNEE01000043__240897"	"Mesorhizobium_norvegicum_10.2.2__FCU66_RS26415__NZ_SMYZ01000066__248389"	"Mesorhizobium_opportunistum_WSM2075__MESOP_RS31700__NC_015675__261312"	"Mesorhizobium_prunaredense_1__BQ8794_RS14920__NZ_FTPD01000017__262602"	"Mesorhizobium_qingshengii_CGMCC_1.12097__BLS48_RS33755__NZ_FMXM01000057__268883"	"Mesorhizobium_sangaii_DSM_100039__HNQ71_RS32005__NZ_JACHEF010000010__280844"	"Mesorhizobium_sanjuanii_BSA136__CN311_RS15845__NZ_NWQG01000093__284297"	"Mesorhizobium_silamurunense_CCBAU_45272__AU465_RS10900__NZ_LPVS01000038__295010"	"Mesorhizobium_sophorae_ICMP_19535__CGZ66_RS04780__NZ_NNRI01000007__310280"	"Mesorhizobium_sp_113-1-2__JN279_RS35755__NZ_AP023242__319450"	"Mesorhizobium_sp_113-3-3__JG746_RS31590__NZ_AP023243__326002"	"Mesorhizobium_sp_113-3-9__MesoLj_RS33705__NZ_AP023246__333612"	"Mesorhizobium_sp_131-2-1__JG743_RS30440__NZ_AP023247__340010"	"Mesorhizobium_sp_131-2-5__JG740_RS31715__NZ_AP023249__346875"	"Mesorhizobium_sp_131-3-5__JG747_RS34590__NZ_AP023255__354834"	"Mesorhizobium_sp_AA22__A9K68_RS29445__NZ_CP048406__365422"	"Mesorhizobium_sp_AR02__DBIPINDM_007288__contig_2__365828"	"Mesorhizobium_sp_AR07__BPNPMPFG_007272__contig_2__381207"	"Mesorhizobium_sp_AR10__LHFGNBLO_006528__contig_2__382112"	"Mesorhizobium_sp_J8__MJ8_RS06590__NZ_AP024109__400833"	"Mesorhizobium_sp_J8__MJ8_RS06640__NZ_AP024109__400843"	"Mesorhizobium_sp_L-2-11__JG739_RS29395__NZ_AP023257__411468"	"Mesorhizobium_sp_L-8-10__JN280_RS33830__NZ_AP023263__419059"	"Mesorhizobium_sp_L-8-3__JN302_RS33090__NZ_AP023262__426482"	"Mesorhizobium_sp_M1A.F.Ca.IN.022.06.1.1__EJ078_RS10340__NZ_CP034455__429538"	"Mesorhizobium_sp_M1B.F.Ca.ET.045.04.1.1__EJ071_RS06540__NZ_CP034448__434513"	"Mesorhizobium_sp_M1D.F.Ca.ET.043.01.1.1__EJ067_RS10515__NZ_CP034444__442477"	"Mesorhizobium_sp_M1D.F.Ca.ET.043.01.1.1__EJ067_RS18675__NZ_CP034444__444022"	"Mesorhizobium_sp_M1E.F.Ca.ET.045.02.1.1__EJ070_RS02420__NZ_CP034447__447409"	"Mesorhizobium_sp_M2A.F.Ca.ET.043.02.1.1__EJ068_RS13210__NZ_CP034445__456337"	"Mesorhizobium_sp_M2A.F.Ca.ET.043.05.1.1__EJ069_RS26630__NZ_CP034446__465164"	"Mesorhizobium_sp_M2A.F.Ca.ET.046.03.2.1__EJ072_RS06135__NZ_CP034449__467396"	"Mesorhizobium_sp_M2A.F.Ca.ET.046.03.2.1__EJ072_RS16620__NZ_CP034449__469375"	"Mesorhizobium_sp_M3A.F.Ca.ET.080.04.2.1__EJ074_RS18015__NZ_CP034451__476441"	"Mesorhizobium_sp_M4B.F.Ca.ET.058.02.1.1__EJ073_RS22095__NZ_CP034450__482799"	"Mesorhizobium_sp_M6A.T.Cr.TU.016.01.1.1__EJ075_RS15880__NZ_CP034452__487553"	"Mesorhizobium_sp_M7A.F.Ce.TU.012.03.2.1__EJ079_RS09660__NZ_CP034779__492641"	"Mesorhizobium_sp_M7D.F.Ca.US.005.01.1.1__EJ076_RS02170__NZ_CP034453__497489"	"Mesorhizobium_sp_M8A.F.Ca.ET.057.01.1.1__EJ077_RS00920__NZ_CP034454__504011"	"Mesorhizobium_sp_M9A.F.Ca.ET.002.03.1.2__EJ066_RS11980__NZ_CP034443__512023"	"Mesorhizobium_sp_NZP2077__HGP13_RS33660__NZ_CP051293__525931"	"Mesorhizobium_sp_NZP2234__EB230_RS30590__NZ_CP033364__532618"	"Mesorhizobium_sp_NZP2298__EB231_RS32165__NZ_CP033365__539240"	"Mesorhizobium_sp_WSM1497__A9K65_RS31645__NZ_CP021070__551941"	"Mesorhizobium_tamadayense_DSM_28320__EH240_RS31760__NZ_RQXT01000061__558241"	"Mesorhizobium_temperatum_SDW018__CIT26_RS10380__NZ_NPKJ01000037__562744"	"Mesorhizobium_tianshanense_CGMCC_1.2546__IQ26_RS29360__NZ_VLKT01000047__577367"	"Mesorhizobium_waimense_ICMP19557__D3227_RS10690__NZ_QZWZ01000006__585582"	"Mesorhizobium_wenxiniae_WYCCWR_10195__CIT31_RS00990__NZ_NPKH01000001__588291"
"Mesorhizobium_albiziae_DSM_21822__F3H98_RS13100__NZ_FOSL01000006__8190"	100	81.1244979919679	75.1004016064257	72.6907630522088	72.6907630522088	70.6827309236948	81.1244979919679	78.714859437751	50.6024096385542	64.2570281124498	74.2971887550201	71.8875502008032	70.6827309236948	80.3212851405623	71.8875502008032	84.7389558232932	74.6987951807229	85.140562248996	75.9036144578313	61.0441767068273	61.0441767068273	84.7389558232932	84.7389558232932	84.3373493975904	84.7389558232932	81.9277108433735	76.3052208835341	84.7389558232932	84.7389558232932	84.3373493975904	84.7389558232932	84.7389558232932	71.8875502008032	73.4939759036145	83.9357429718875	70.6827309236948	72.289156626506	61.0441767068273	85.9437751004016	83.9357429718875	84.3373493975904	83.5341365461847	84.7389558232932	84.7389558232932	84.7389558232932	84.7389558232932	84.7389558232932	85.140562248996	83.9357429718875	77.5100401606426	77.1084337349398	76.7068273092369	71.0843373493976	72.6907630522088	84.3373493975904	84.7389558232932	84.7389558232932	73.4939759036145	73.8955823293173	83.1325301204819	73.0923694779116	73.4939759036145	73.0923694779116	73.0923694779116	83.1325301204819	73.0923694779116	73.0923694779116	73.0923694779116	73.4939759036145	72.289156626506	71.8875502008032	73.0923694779116	73.4939759036145	83.9357429718875	85.140562248996	83.9357429718875	70.6827309236948	83.5341365461847	85.5421686746988	85.9437751004016	82.7309236947791	73.4939759036145
"Mesorhizobium_alhagi_CCNWXJ12-2__MAXJ12_RS33695__NZ_AHAM01000338__11630"	81.1244979919679	100	75.9036144578313	73.8955823293173	75.1004016064257	69.0763052208835	99.1967871485944	79.1164658634538	50.6024096385542	67.4698795180723	71.0843373493976	69.4779116465863	69.0763052208835	76.7068273092369	71.8875502008032	79.1164658634538	72.6907630522088	79.9196787148594	74.6987951807229	61.8473895582329	62.2489959839357	80.3212851405623	80.7228915662651	79.9196787148594	79.1164658634538	77.1084337349398	75.1004016064257	79.1164658634538	79.1164658634538	79.9196787148594	79.1164658634538	80.7228915662651	71.8875502008032	71.0843373493976	80.7228915662651	69.0763052208835	71.4859437751004	61.8473895582329	78.714859437751	79.9196787148594	78.3132530120482	80.3212851405623	80.7228915662651	80.7228915662651	80.7228915662651	80.7228915662651	80.7228915662651	80.3212851405623	79.1164658634538	76.3052208835341	75.9036144578313	75.5020080321285	70.281124497992	75.5020080321285	80.3212851405623	80.7228915662651	80.7228915662651	71.0843373493976	71.0843373493976	79.1164658634538	70.281124497992	71.0843373493976	70.281124497992	70.281124497992	79.1164658634538	70.281124497992	70.281124497992	70.281124497992	71.0843373493976	69.8795180722892	69.4779116465863	70.281124497992	71.0843373493976	79.9196787148594	79.9196787148594	80.7228915662651	68.6746987951807	77.5100401606426	78.714859437751	78.714859437751	80.7228915662651	71.0843373493976
"Mesorhizobium_amorphae_CCNWGS0123__A6B35_RS32515__NZ_CP015322__24488"	75.1004016064257	75.9036144578313	100	76.7068273092369	73.0923694779116	67.4698795180723	75.5020080321285	77.5100401606426	51.4056224899598	67.4698795180723	68.6746987951807	66.6666666666667	67.4698795180723	71.4859437751004	69.8795180722892	73.8955823293173	71.8875502008032	73.4939759036145	72.6907630522088	59.4377510040161	60.6425702811245	73.8955823293173	73.8955823293173	74.2971887550201	73.8955823293173	72.6907630522088	73.0923694779116	73.8955823293173	73.8955823293173	74.2971887550201	73.8955823293173	73.8955823293173	69.8795180722892	68.6746987951807	73.8955823293173	67.4698795180723	70.281124497992	59.4377510040161	74.2971887550201	73.8955823293173	73.4939759036145	73.4939759036145	73.8955823293173	73.8955823293173	73.8955823293173	73.8955823293173	73.8955823293173	74.2971887550201	73.8955823293173	73.8955823293173	73.4939759036145	73.0923694779116	70.281124497992	78.3132530120482	73.4939759036145	73.8955823293173	73.8955823293173	68.6746987951807	69.0763052208835	73.8955823293173	67.8714859437751	68.6746987951807	67.8714859437751	67.8714859437751	73.8955823293173	67.8714859437751	67.8714859437751	67.8714859437751	68.6746987951807	67.0682730923695	66.6666666666667	67.8714859437751	68.6746987951807	73.8955823293173	73.4939759036145	73.0923694779116	67.4698795180723	72.289156626506	73.0923694779116	73.4939759036145	72.6907630522088	68.6746987951807
"Mesorhizobium_atlanticum_CNPSo_3140__DPM35_RS29965__NZ_QMBQ01000012__26941"	72.6907630522088	73.8955823293173	76.7068273092369	100	69.0763052208835	69.8795180722892	73.4939759036145	75.5020080321285	49.3975903614458	64.2570281124498	69.8795180722892	67.8714859437751	69.8795180722892	70.6827309236948	71.4859437751004	71.8875502008032	71.8875502008032	71.4859437751004	72.6907630522088	62.2489959839357	62.6506024096386	71.8875502008032	71.4859437751004	71.8875502008032	71.8875502008032	72.289156626506	72.6907630522088	71.8875502008032	71.8875502008032	71.8875502008032	71.8875502008032	71.4859437751004	71.4859437751004	69.0763052208835	71.8875502008032	69.8795180722892	71.4859437751004	62.2489959839357	71.0843373493976	71.4859437751004	71.0843373493976	71.8875502008032	71.4859437751004	71.4859437751004	71.4859437751004	71.4859437751004	71.4859437751004	71.8875502008032	72.6907630522088	72.6907630522088	73.0923694779116	73.4939759036145	67.8714859437751	87.14859437751	71.0843373493976	71.4859437751004	71.4859437751004	69.0763052208835	69.0763052208835	73.0923694779116	68.2730923694779	69.0763052208835	68.2730923694779	68.2730923694779	73.0923694779116	68.2730923694779	68.2730923694779	68.2730923694779	69.0763052208835	68.2730923694779	67.8714859437751	68.2730923694779	69.0763052208835	71.4859437751004	71.4859437751004	71.0843373493976	69.8795180722892	68.6746987951807	70.281124497992	71.4859437751004	72.289156626506	69.0763052208835
"Mesorhizobium_atlanticum_CNPSo_3140__DPM35_RS29975__NZ_QMBQ01000012__26943"	72.6907630522088	75.1004016064257	73.0923694779116	69.0763052208835	100	63.0522088353414	74.6987951807229	71.4859437751004	48.5943775100402	61.8473895582329	66.2650602409639	65.0602409638554	63.0522088353414	70.6827309236948	65.4618473895582	71.8875502008032	68.2730923694779	71.8875502008032	68.6746987951807	57.8313253012048	59.4377510040161	72.289156626506	72.6907630522088	71.8875502008032	71.8875502008032	72.289156626506	69.0763052208835	71.8875502008032	71.8875502008032	71.8875502008032	71.8875502008032	72.6907630522088	65.4618473895582	66.2650602409639	72.289156626506	63.0522088353414	65.863453815261	57.8313253012048	71.4859437751004	72.289156626506	71.8875502008032	75.1004016064257	72.6907630522088	72.6907630522088	72.6907630522088	72.6907630522088	72.6907630522088	72.289156626506	72.289156626506	70.281124497992	69.8795180722892	69.8795180722892	80.3212851405623	70.6827309236948	72.289156626506	72.6907630522088	72.6907630522088	66.2650602409639	65.863453815261	71.0843373493976	65.0602409638554	66.2650602409639	65.0602409638554	65.0602409638554	71.0843373493976	65.0602409638554	65.0602409638554	65.0602409638554	66.2650602409639	65.0602409638554	65.0602409638554	65.0602409638554	66.2650602409639	72.289156626506	71.8875502008032	71.8875502008032	63.0522088353414	70.281124497992	71.8875502008032	72.289156626506	75.1004016064257	66.2650602409639
"Mesorhizobium_australicum_WSM2073__MESAU_RS28720__NC_019973__36576"	70.6827309236948	69.0763052208835	67.4698795180723	69.8795180722892	63.0522088353414	100	68.6746987951807	75.1004016064257	49.3975903614458	62.2489959839357	71.4859437751004	69.4779116465863	100	67.0682730923695	90.3614457831325	67.4698795180723	68.6746987951807	67.4698795180723	74.2971887550201	69.4779116465863	68.2730923694779	67.4698795180723	67.4698795180723	67.8714859437751	67.4698795180723	69.0763052208835	74.6987951807229	67.4698795180723	67.4698795180723	67.8714859437751	67.4698795180723	67.4698795180723	90.3614457831325	71.0843373493976	67.8714859437751	100	90.7630522088353	69.4779116465863	69.4779116465863	67.0682730923695	69.4779116465863	67.8714859437751	67.4698795180723	67.4698795180723	67.4698795180723	67.4698795180723	67.4698795180723	67.8714859437751	68.2730923694779	75.1004016064257	75.5020080321285	75.1004016064257	61.4457831325301	69.0763052208835	67.0682730923695	67.4698795180723	67.4698795180723	71.0843373493976	71.4859437751004	69.8795180722892	70.281124497992	71.0843373493976	70.281124497992	70.281124497992	69.8795180722892	70.281124497992	70.281124497992	70.281124497992	71.0843373493976	69.8795180722892	69.4779116465863	70.281124497992	71.0843373493976	67.0682730923695	67.4698795180723	67.0682730923695	96.3855421686747	67.0682730923695	69.0763052208835	70.281124497992	65.863453815261	71.0843373493976
"Mesorhizobium_camelthorni_CCNWXJ_40-4__G6N73_RS13035__NZ_JAAKZF010000014__38134"	81.1244979919679	99.1967871485944	75.5020080321285	73.4939759036145	74.6987951807229	68.6746987951807	100	78.714859437751	50.6024096385542	67.0682730923695	71.0843373493976	69.4779116465863	68.6746987951807	76.7068273092369	71.4859437751004	79.1164658634538	72.6907630522088	79.1164658634538	74.2971887550201	61.4457831325301	61.8473895582329	79.5180722891566	79.9196787148594	79.1164658634538	79.1164658634538	77.1084337349398	74.6987951807229	79.1164658634538	79.1164658634538	79.1164658634538	79.1164658634538	79.9196787148594	71.4859437751004	71.0843373493976	79.9196787148594	68.6746987951807	71.0843373493976	61.4457831325301	78.714859437751	79.1164658634538	78.3132530120482	79.5180722891566	79.9196787148594	79.9196787148594	79.9196787148594	79.9196787148594	79.9196787148594	79.5180722891566	79.1164658634538	75.9036144578313	75.5020080321285	75.1004016064257	69.8795180722892	75.1004016064257	79.5180722891566	79.9196787148594	79.9196787148594	71.0843373493976	71.0843373493976	79.5180722891566	70.281124497992	71.0843373493976	70.281124497992	70.281124497992	79.5180722891566	70.281124497992	70.281124497992	70.281124497992	71.0843373493976	69.8795180722892	69.4779116465863	70.281124497992	71.0843373493976	79.1164658634538	79.1164658634538	79.9196787148594	68.2730923694779	78.3132530120482	78.714859437751	78.714859437751	79.9196787148594	71.0843373493976
"Mesorhizobium_caraganae_CCBAU_01502__AK97_RS07135__NZ_JHQT01000021__45895"	78.714859437751	79.1164658634538	77.5100401606426	75.5020080321285	71.4859437751004	75.1004016064257	78.714859437751	100	58.6345381526104	70.281124497992	77.1084337349398	75.1004016064257	75.1004016064257	71.4859437751004	77.1084337349398	74.2971887550201	77.1084337349398	73.0923694779116	83.5341365461847	66.6666666666667	68.2730923694779	73.4939759036145	73.4939759036145	73.8955823293173	74.2971887550201	73.8955823293173	83.9357429718875	74.2971887550201	74.2971887550201	73.8955823293173	74.2971887550201	73.4939759036145	77.1084337349398	77.1084337349398	73.8955823293173	75.1004016064257	77.5100401606426	66.6666666666667	75.5020080321285	73.4939759036145	74.6987951807229	78.3132530120482	73.4939759036145	73.4939759036145	73.4939759036145	73.4939759036145	73.4939759036145	73.8955823293173	73.0923694779116	85.140562248996	84.7389558232932	84.3373493975904	68.6746987951807	74.2971887550201	73.0923694779116	73.4939759036145	73.4939759036145	77.1084337349398	77.5100401606426	73.8955823293173	76.3052208835341	77.1084337349398	76.3052208835341	76.3052208835341	73.8955823293173	76.3052208835341	76.3052208835341	76.3052208835341	77.1084337349398	75.5020080321285	75.1004016064257	76.3052208835341	77.1084337349398	73.4939759036145	73.0923694779116	73.0923694779116	75.5020080321285	71.4859437751004	74.2971887550201	75.1004016064257	77.9116465863454	77.1084337349398
"Mesorhizobium_carmichaelinearum_ICMP_18942__CKW40_RS39165__NZ_FZQR01000048__56101"	50.6024096385542	50.6024096385542	51.4056224899598	49.3975903614458	48.5943775100402	49.3975903614458	50.6024096385542	58.6345381526104	100	45.7831325301205	54.2168674698795	52.6104417670683	49.3975903614458	46.9879518072289	48.995983935743	47.3895582329317	51.004016064257	48.5943775100402	53.4136546184739	43.3734939759036	52.2088353413655	47.7911646586345	48.1927710843374	48.5943775100402	47.3895582329317	48.5943775100402	53.4136546184739	47.3895582329317	47.3895582329317	48.5943775100402	47.3895582329317	48.1927710843374	48.995983935743	53.0120481927711	48.5943775100402	49.3975903614458	49.3975903614458	43.3734939759036	48.5943775100402	47.7911646586345	49.7991967871486	47.3895582329317	48.1927710843374	48.1927710843374	48.1927710843374	48.1927710843374	48.1927710843374	48.1927710843374	46.9879518072289	54.6184738955823	54.2168674698795	54.2168674698795	42.570281124498	49.3975903614458	47.7911646586345	48.1927710843374	48.1927710843374	53.0120481927711	53.4136546184739	47.7911646586345	53.8152610441767	53.0120481927711	53.8152610441767	53.8152610441767	47.7911646586345	53.8152610441767	53.8152610441767	53.8152610441767	53.0120481927711	53.0120481927711	52.6104417670683	53.8152610441767	53.0120481927711	47.7911646586345	48.5943775100402	48.1927710843374	49.7991967871486	47.3895582329317	48.1927710843374	48.995983935743	48.1927710843374	53.0120481927711
"Mesorhizobium_carmichaelinearum_ICMP_18942__CKW40_RS41875__NZ_FZQR01000087__60784"	64.2570281124498	67.4698795180723	67.4698795180723	64.2570281124498	61.8473895582329	62.2489959839357	67.0682730923695	70.281124497992	45.7831325301205	100	63.855421686747	62.6506024096386	62.2489959839357	60.6425702811245	63.0522088353414	63.0522088353414	63.855421686747	63.4538152610442	66.6666666666667	55.421686746988	56.6265060240964	63.4538152610442	63.4538152610442	63.855421686747	63.0522088353414	64.2570281124498	67.0682730923695	63.0522088353414	63.0522088353414	63.855421686747	63.0522088353414	63.4538152610442	63.0522088353414	64.6586345381526	63.855421686747	62.2489959839357	63.0522088353414	55.421686746988	64.2570281124498	63.0522088353414	64.2570281124498	63.4538152610442	63.4538152610442	63.4538152610442	63.4538152610442	63.4538152610442	63.4538152610442	63.855421686747	63.0522088353414	67.0682730923695	67.4698795180723	67.0682730923695	57.8313253012048	66.2650602409639	63.0522088353414	63.4538152610442	63.4538152610442	64.6586345381526	64.6586345381526	61.8473895582329	63.4538152610442	64.6586345381526	63.4538152610442	63.4538152610442	61.8473895582329	63.4538152610442	63.4538152610442	63.4538152610442	64.6586345381526	63.0522088353414	62.6506024096386	63.4538152610442	64.6586345381526	63.0522088353414	63.4538152610442	63.0522088353414	63.4538152610442	63.4538152610442	65.0602409638554	65.4618473895582	63.0522088353414	64.6586345381526
