"Mesorhizobium_albiziae_DSM_21822__F3H98_RS27480__NZ_FOSL01000033__10956"	"Mesorhizobium_amorphae_CCNWGS0123__A6B35_RS32095__NZ_CP015322__24409"	"Mesorhizobium_atlanticum_CNPSo_3140__DPM35_RS29645__NZ_QMBQ01000012__26885"	"Mesorhizobium_australicum_WSM2073__MESAU_RS28515__NC_019973__36536"	"Mesorhizobium_camelthorni_CCNWXJ_40-4__G6N73_RS19695__NZ_JAAKZF010000030__40401"	"Mesorhizobium_caraganae_CCBAU_01502__AK97_RS09905__NZ_JHQT01000033__46486"	"Mesorhizobium_carmichaelinearum_ICMP_18942__CKW40_RS40700__NZ_FZQR01000063__61649"	"Mesorhizobium_ciceri_ca181__M1C_RS30375__NZ_CM002796__68289"	"Mesorhizobium_ciceri_CC1192__A4R28_RS21930__NZ_CP015062__72954"	"Mesorhizobium_ciceri_WSM1271__MESCI_RS29070__NC_014923__80839"	"Mesorhizobium_ciceri_WSM1284__A4R29_RS04690__NZ_CP015064__82353"	"Mesorhizobium_delmotii_STM_462__BQ8482_RS29730__NZ_FUIG01000049__97875"	"Mesorhizobium_erdmanii_NZP2014__EB233_RS30300__NZ_CP033361__114891"	"Mesorhizobium_hawassense_AC99b__DPM33_RS33730__NZ_QMBP01000030__119440"	"Mesorhizobium_helmanticense_CSLC115N__C9427_RS31975__NZ_PZJX01000070__128152"	"Mesorhizobium_huakuii_583__HB778_RS39835__NZ_CP050299__135215"	"Mesorhizobium_huakuii_7653R__MCHK_RS32320__NZ_CP006583__141922"	"Mesorhizobium_intechi_BD68__C1D09_RS23880__NZ_PNOT02000271__151276"	"Mesorhizobium_intechi_BD68__C1D09_RS09190__NZ_PNOT02000101__153720"	"Mesorhizobium_japonicum_MAFF_303099__MAFF_RS24200__NC_002678__158813"	"Mesorhizobium_japonicum_R7A__R7A2020_RS30330__NZ_CP051772__167292"	"Mesorhizobium_jarvisii_ATCC_700743__EB229_RS32780__NZ_CP033507__173900"	"Mesorhizobium_kowhaii_Ach-343__B5V02_RS21155__NZ_MZXV01000045__179962"	"Mesorhizobium_loti_582__HB777_RS39505__NZ_CP050295__188869"	"Mesorhizobium_loti_NZP2037__A9174_RS32460__NZ_CP016079__201650"	"Mesorhizobium_loti_NZP2042__EB815_RS32250__NZ_CP033334__208569"	"Mesorhizobium_loti_R88b__EB235_RS33335__NZ_CP033367__215288"	"Mesorhizobium_loti_SU343__EFV37_RS32785__NZ_CP033368__221899"	"Mesorhizobium_loti_TONO__MLTONO_RS26535__NZ_AP017605__227508"	"Mesorhizobium_metallidurans_STM_2683__MESS2_RS28725__NZ_CAUM01000170__230456"	"Mesorhizobium_muleiense_CGMCC_1.11022__BLT09_RS28280__NZ_FNEE01000025__241216"	"Mesorhizobium_norvegicum_10.2.2__FCU66_RS30670__NZ_SMYZ01000081__249237"	"Mesorhizobium_opportunistum_WSM2075__MESOP_RS31490__NC_015675__261272"	"Mesorhizobium_prunaredense_1__BQ8794_RS15155__NZ_FTPD01000017__262647"	"Mesorhizobium_qingshengii_CGMCC_1.12097__BLS48_RS33620__NZ_FMXM01000054__274077"	"Mesorhizobium_sangaii_DSM_100039__HNQ71_RS32325__NZ_JACHEF010000011__280903"	"Mesorhizobium_sanjuanii_BSA136__CN311_RS02505__NZ_NWQG01000012__281756"	"Mesorhizobium_silamurunense_CCBAU_45272__AU465_RS03065__NZ_LPVS01000012__293974"	"Mesorhizobium_sophorae_ICMP_19535__CGZ66_RS30960__NZ_NNRI01000021__308436"	"Mesorhizobium_sp_113-1-2__JN279_RS36960__NZ_AP023242__319613"	"Mesorhizobium_sp_113-3-3__JG746_RS32680__NZ_AP023243__326189"	"Mesorhizobium_sp_113-3-9__MesoLj_RS34795__NZ_AP023246__333798"	"Mesorhizobium_sp_131-2-1__JG743_RS31525__NZ_AP023247__340185"	"Mesorhizobium_sp_131-2-5__JG740_RS32790__NZ_AP023249__347048"	"Mesorhizobium_sp_131-3-5__JG747_RS33605__NZ_AP023255__354693"	"Mesorhizobium_sp_AA22__A9K68_RS29080__NZ_CP048406__365357"	"Mesorhizobium_sp_AR02__DBIPINDM_007271__contig_2__365813"	"Mesorhizobium_sp_AR07__BPNPMPFG_007255__contig_2__381193"	"Mesorhizobium_sp_AR10__LHFGNBLO_006547__contig_2__382128"	"Mesorhizobium_sp_J8__MJ8_RS06975__NZ_AP024109__400909"	"Mesorhizobium_sp_L-2-11__JG739_RS30390__NZ_AP023257__411628"	"Mesorhizobium_sp_L-8-10__JN280_RS34690__NZ_AP023263__419197"	"Mesorhizobium_sp_L-8-3__JN302_RS34010__NZ_AP023262__426631"	"Mesorhizobium_sp_M1A.F.Ca.IN.022.06.1.1__EJ078_RS10030__NZ_CP034455__429484"	"Mesorhizobium_sp_M1B.F.Ca.ET.045.04.1.1__EJ071_RS06795__NZ_CP034448__434557"	"Mesorhizobium_sp_M1D.F.Ca.ET.043.01.1.1__EJ067_RS11040__NZ_CP034444__442556"	"Mesorhizobium_sp_M1D.F.Ca.ET.043.01.1.1__EJ067_RS18920__NZ_CP034444__444066"	"Mesorhizobium_sp_M1E.F.Ca.ET.045.02.1.1__EJ070_RS02170__NZ_CP034447__447365"	"Mesorhizobium_sp_M2A.F.Ca.ET.043.02.1.1__EJ068_RS12965__NZ_CP034445__456294"	"Mesorhizobium_sp_M2A.F.Ca.ET.043.05.1.1__EJ069_RS26875__NZ_CP034446__465207"	"Mesorhizobium_sp_M2A.F.Ca.ET.046.03.2.1__EJ072_RS06660__NZ_CP034449__467478"	"Mesorhizobium_sp_M2A.F.Ca.ET.046.03.2.1__EJ072_RS16870__NZ_CP034449__469419"	"Mesorhizobium_sp_M3A.F.Ca.ET.080.04.2.1__EJ074_RS18260__NZ_CP034451__476485"	"Mesorhizobium_sp_M4B.F.Ca.ET.058.02.1.1__EJ073_RS22420__NZ_CP034450__482858"	"Mesorhizobium_sp_M6A.T.Cr.TU.016.01.1.1__EJ075_RS16120__NZ_CP034452__487597"	"Mesorhizobium_sp_M7A.F.Ce.TU.012.03.2.1__EJ079_RS09910__NZ_CP034779__492682"	"Mesorhizobium_sp_M7D.F.Ca.US.005.01.1.1__EJ076_RS01910__NZ_CP034453__497446"	"Mesorhizobium_sp_M8A.F.Ca.ET.057.01.1.1__EJ077_RS01160__NZ_CP034454__504050"	"Mesorhizobium_sp_M9A.F.Ca.ET.002.03.1.2__EJ066_RS12230__NZ_CP034443__512065"	"Mesorhizobium_sp_NZP2077__HGP13_RS34665__NZ_CP051293__526091"	"Mesorhizobium_sp_NZP2234__EB230_RS31370__NZ_CP033364__532747"	"Mesorhizobium_sp_NZP2298__EB231_RS32990__NZ_CP033365__539381"	"Mesorhizobium_sp_WSM1497__A9K65_RS31400__NZ_CP021070__551898"	"Mesorhizobium_tamadayense_DSM_28320__EH240_RS27095__NZ_RQXT01000042__556983"	"Mesorhizobium_temperatum_SDW018__CIT26_RS20495__NZ_NPKJ01000057__564618"	"Mesorhizobium_tianshanense_CGMCC_1.2546__IQ26_RS34175__NZ_VLKT01000071__578258"	"Mesorhizobium_waimense_ICMP19557__D3227_RS33065__NZ_QZWZ01000047__584123"	"Mesorhizobium_wenxiniae_WYCCWR_10195__CIT31_RS01240__NZ_NPKH01000001__588333"
"Mesorhizobium_albiziae_DSM_21822__F3H98_RS27480__NZ_FOSL01000033__10956"	100	93.0693069306931	92.6732673267327	92.4752475247525	96.2376237623762	93.6633663366337	92.0792079207921	90.8910891089109	90.8910891089109	92.4752475247525	92.0792079207921	92.6732673267327	92.2772277227723	92.6732673267327	91.6831683168317	93.4653465346535	92.4752475247525	91.8811881188119	91.8811881188119	92.4752475247525	92.2772277227723	91.8811881188119	95.049504950495	92.0792079207921	91.8811881188119	92.2772277227723	92.2772277227723	91.8811881188119	92.0792079207921	92.4752475247525	90.6930693069307	92.2772277227723	92.4752475247525	92.0792079207921	92.4752475247525	93.6633663366337	92.2772277227723	94.8514851485149	92.8712871287129	92.0792079207921	92.4752475247525	92.4752475247525	92.0792079207921	92.0792079207921	91.6831683168317	92.6732673267327	94.2574257425743	93.8613861386139	93.4653465346535	92.4752475247525	92.0792079207921	92.4752475247525	91.8811881188119	90.8910891089109	90.8910891089109	91.6831683168317	90.8910891089109	90.8910891089109	90.8910891089109	90.8910891089109	91.6831683168317	90.8910891089109	90.8910891089109	90.8910891089109	90.8910891089109	90.6930693069307	90.8910891089109	90.8910891089109	90.8910891089109	92.2772277227723	92.2772277227723	92.0792079207921	92.4752475247525	93.8613861386139	95.049504950495	95.049504950495	93.2673267326733	90.8910891089109
"Mesorhizobium_amorphae_CCNWGS0123__A6B35_RS32095__NZ_CP015322__24409"	93.0693069306931	100	91.4851485148515	90.6930693069307	93.2673267326733	93.0693069306931	91.0891089108911	90.2970297029703	90.2970297029703	90.6930693069307	90.8910891089109	91.4851485148515	90.4950495049505	90.8910891089109	90.2970297029703	93.4653465346535	92.0792079207921	90.0990099009901	90.0990099009901	90.4950495049505	90.6930693069307	90.0990099009901	92.8712871287129	91.8811881188119	90.0990099009901	90.4950495049505	90.6930693069307	90.0990099009901	90.2970297029703	91.4851485148515	90.0990099009901	90.2970297029703	90.6930693069307	91.0891089108911	92.0792079207921	92.6732673267327	90.2970297029703	92.6732673267327	92.0792079207921	90.6930693069307	90.4950495049505	90.4950495049505	91.0891089108911	91.0891089108911	90.0990099009901	91.2871287128713	93.0693069306931	92.6732673267327	93.4653465346535	91.2871287128713	90.6930693069307	90.4950495049505	90.0990099009901	90.2970297029703	90.2970297029703	90.4950495049505	90.2970297029703	90.2970297029703	90.2970297029703	90.2970297029703	90.4950495049505	90.2970297029703	90.2970297029703	90.2970297029703	90.2970297029703	90.0990099009901	90.2970297029703	90.2970297029703	90.2970297029703	90.2970297029703	90.2970297029703	90.2970297029703	90.4950495049505	91.4851485148515	92.8712871287129	92.8712871287129	92.6732673267327	90.2970297029703
"Mesorhizobium_atlanticum_CNPSo_3140__DPM35_RS29645__NZ_QMBQ01000012__26885"	92.6732673267327	91.4851485148515	100	93.4653465346535	91.4851485148515	94.059405940594	92.4752475247525	93.0693069306931	93.0693069306931	93.4653465346535	93.8613861386139	93.4653465346535	91.4851485148515	97.029702970297	91.2871287128713	93.8613861386139	93.4653465346535	90.8910891089109	90.8910891089109	90.8910891089109	91.2871287128713	91.0891089108911	95.049504950495	91.6831683168317	91.0891089108911	91.4851485148515	91.2871287128713	91.0891089108911	91.2871287128713	93.6633663366337	92.8712871287129	90.4950495049505	93.4653465346535	93.4653465346535	93.4653465346535	93.8613861386139	91.2871287128713	95.4455445544554	93.6633663366337	90.4950495049505	90.4950495049505	90.4950495049505	90.4950495049505	90.4950495049505	90.4950495049505	93.8613861386139	94.2574257425743	93.8613861386139	93.8613861386139	95.4455445544554	90.4950495049505	90.8910891089109	91.0891089108911	93.0693069306931	93.0693069306931	90.4950495049505	93.0693069306931	93.0693069306931	93.0693069306931	93.0693069306931	90.4950495049505	93.0693069306931	93.0693069306931	93.0693069306931	93.0693069306931	92.8712871287129	93.0693069306931	93.0693069306931	93.0693069306931	90.6930693069307	90.4950495049505	91.0891089108911	93.6633663366337	93.6633663366337	95.6435643564356	95.2475247524752	94.2574257425743	93.0693069306931
"Mesorhizobium_australicum_WSM2073__MESAU_RS28515__NC_019973__36536"	92.4752475247525	90.6930693069307	93.4653465346535	100	90.4950495049505	93.8613861386139	92.2772277227723	93.4653465346535	93.4653465346535	100	95.8415841584158	97.029702970297	90.8910891089109	94.059405940594	90.4950495049505	93.6633663366337	93.8613861386139	90.6930693069307	90.6930693069307	90.4950495049505	90.6930693069307	90.4950495049505	95.4455445544554	91.2871287128713	90.4950495049505	90.8910891089109	90.6930693069307	90.4950495049505	90.6930693069307	96.8316831683168	93.2673267326733	90.4950495049505	100	96.2376237623762	93.8613861386139	93.8613861386139	90.6930693069307	96.039603960396	93.8613861386139	90.4950495049505	90.6930693069307	90.6930693069307	90.2970297029703	90.2970297029703	90.0990099009901	96.6336633663366	94.2574257425743	93.8613861386139	93.6633663366337	93.6633663366337	90.4950495049505	90.4950495049505	90.4950495049505	93.4653465346535	93.4653465346535	90.0990099009901	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	90.0990099009901	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	90.2970297029703	90.4950495049505	90.8910891089109	99.009900990099	94.4554455445545	96.039603960396	95.6435643564356	94.8514851485149	93.4653465346535
"Mesorhizobium_camelthorni_CCNWXJ_40-4__G6N73_RS19695__NZ_JAAKZF010000030__40401"	96.2376237623762	93.2673267326733	91.4851485148515	90.4950495049505	100	92.2772277227723	90.8910891089109	90.2970297029703	90.2970297029703	90.4950495049505	90.8910891089109	91.2871287128713	91.2871287128713	91.2871287128713	90.8910891089109	92.0792079207921	91.0891089108911	90.4950495049505	90.4950495049505	90.8910891089109	91.0891089108911	90.8910891089109	93.4653465346535	90.4950495049505	90.8910891089109	90.8910891089109	91.0891089108911	90.8910891089109	90.6930693069307	91.6831683168317	90.0990099009901	90.6930693069307	90.4950495049505	91.2871287128713	91.0891089108911	92.6732673267327	90.6930693069307	93.2673267326733	91.6831683168317	90.4950495049505	90.4950495049505	90.4950495049505	90.4950495049505	90.4950495049505	90.4950495049505	91.8811881188119	92.8712871287129	92.4752475247525	92.0792079207921	91.6831683168317	90.4950495049505	90.8910891089109	90.4950495049505	90.2970297029703	90.2970297029703	90.4950495049505	90.2970297029703	90.2970297029703	90.2970297029703	90.2970297029703	90.4950495049505	90.2970297029703	90.2970297029703	90.2970297029703	90.2970297029703	90.0990099009901	90.2970297029703	90.2970297029703	90.2970297029703	90.8910891089109	90.4950495049505	90.6930693069307	90.6930693069307	92.4752475247525	93.4653465346535	93.0693069306931	92.0792079207921	90.2970297029703
"Mesorhizobium_caraganae_CCBAU_01502__AK97_RS09905__NZ_JHQT01000033__46486"	93.6633663366337	93.0693069306931	94.059405940594	93.8613861386139	92.2772277227723	100	93.6633663366337	92.6732673267327	92.6732673267327	93.8613861386139	93.2673267326733	94.059405940594	91.4851485148515	94.059405940594	90.8910891089109	98.4158415841584	95.4455445544554	90.8910891089109	90.8910891089109	90.6930693069307	91.0891089108911	90.8910891089109	97.029702970297	96.039603960396	90.8910891089109	91.2871287128713	91.0891089108911	90.8910891089109	91.0891089108911	94.4554455445545	92.4752475247525	90.4950495049505	93.8613861386139	93.8613861386139	95.4455445544554	98.4158415841584	91.0891089108911	96.6336633663366	94.4554455445545	90.2970297029703	90.2970297029703	90.2970297029703	90.2970297029703	90.2970297029703	90.2970297029703	94.6534653465346	98.8118811881188	98.8118811881188	98.6138613861386	94.059405940594	90.2970297029703	90.6930693069307	90.8910891089109	92.6732673267327	92.6732673267327	90.8910891089109	92.6732673267327	92.6732673267327	92.6732673267327	92.6732673267327	90.8910891089109	92.6732673267327	92.6732673267327	92.6732673267327	92.6732673267327	92.4752475247525	92.6732673267327	92.6732673267327	92.6732673267327	90.6930693069307	90.4950495049505	91.0891089108911	94.2574257425743	94.8514851485149	96.8316831683168	97.029702970297	94.8514851485149	92.6732673267327
"Mesorhizobium_carmichaelinearum_ICMP_18942__CKW40_RS40700__NZ_FZQR01000063__61649"	92.0792079207921	91.0891089108911	92.4752475247525	92.2772277227723	90.8910891089109	93.6633663366337	100	91.0891089108911	91.0891089108911	92.2772277227723	91.2871287128713	92.6732673267327	88.9108910891089	92.6732673267327	88.3168316831683	92.8712871287129	92.2772277227723	88.1188118811881	88.1188118811881	88.3168316831683	88.5148514851485	88.5148514851485	93.6633663366337	91.4851485148515	88.5148514851485	88.9108910891089	88.5148514851485	88.5148514851485	88.3168316831683	92.0792079207921	90.8910891089109	88.1188118811881	92.2772277227723	91.6831683168317	92.2772277227723	93.0693069306931	88.3168316831683	94.2574257425743	93.6633663366337	88.1188118811881	87.9207920792079	87.9207920792079	88.1188118811881	88.1188118811881	87.9207920792079	92.0792079207921	93.4653465346535	93.2673267326733	92.8712871287129	92.0792079207921	88.1188118811881	88.3168316831683	88.1188118811881	91.0891089108911	91.0891089108911	87.9207920792079	91.0891089108911	91.0891089108911	91.0891089108911	91.0891089108911	87.9207920792079	91.0891089108911	91.0891089108911	91.0891089108911	91.0891089108911	90.8910891089109	91.0891089108911	91.0891089108911	91.0891089108911	88.1188118811881	87.9207920792079	88.3168316831683	92.4752475247525	92.8712871287129	94.2574257425743	94.2574257425743	94.059405940594	91.0891089108911
"Mesorhizobium_ciceri_ca181__M1C_RS30375__NZ_CM002796__68289"	90.8910891089109	90.2970297029703	93.0693069306931	93.4653465346535	90.2970297029703	92.6732673267327	91.0891089108911	100	100	93.4653465346535	94.2574257425743	93.4653465346535	90.6930693069307	93.0693069306931	90.4950495049505	92.4752475247525	92.0792079207921	90.2970297029703	90.2970297029703	90.2970297029703	90.6930693069307	90.2970297029703	94.059405940594	90.6930693069307	90.2970297029703	90.6930693069307	90.6930693069307	90.2970297029703	90.4950495049505	94.2574257425743	99.8019801980198	90.0990099009901	93.4653465346535	94.2574257425743	92.0792079207921	92.6732673267327	90.4950495049505	94.2574257425743	92.0792079207921	90.2970297029703	90.2970297029703	90.2970297029703	90.0990099009901	90.0990099009901	89.9009900990099	94.2574257425743	93.0693069306931	92.6732673267327	92.4752475247525	92.4752475247525	90.2970297029703	90.2970297029703	90.2970297029703	100	100	89.9009900990099	100	100	100	100	89.9009900990099	100	100	100	100	99.8019801980198	100	100	100	90.2970297029703	89.9009900990099	90.4950495049505	93.2673267326733	92.2772277227723	94.059405940594	93.6633663366337	92.8712871287129	100
"Mesorhizobium_ciceri_CC1192__A4R28_RS21930__NZ_CP015062__72954"	90.8910891089109	90.2970297029703	93.0693069306931	93.4653465346535	90.2970297029703	92.6732673267327	91.0891089108911	100	100	93.4653465346535	94.2574257425743	93.4653465346535	90.6930693069307	93.0693069306931	90.4950495049505	92.4752475247525	92.0792079207921	90.2970297029703	90.2970297029703	90.2970297029703	90.6930693069307	90.2970297029703	94.059405940594	90.6930693069307	90.2970297029703	90.6930693069307	90.6930693069307	90.2970297029703	90.4950495049505	94.2574257425743	99.8019801980198	90.0990099009901	93.4653465346535	94.2574257425743	92.0792079207921	92.6732673267327	90.4950495049505	94.2574257425743	92.0792079207921	90.2970297029703	90.2970297029703	90.2970297029703	90.0990099009901	90.0990099009901	89.9009900990099	94.2574257425743	93.0693069306931	92.6732673267327	92.4752475247525	92.4752475247525	90.2970297029703	90.2970297029703	90.2970297029703	100	100	89.9009900990099	100	100	100	100	89.9009900990099	100	100	100	100	99.8019801980198	100	100	100	90.2970297029703	89.9009900990099	90.4950495049505	93.2673267326733	92.2772277227723	94.059405940594	93.6633663366337	92.8712871287129	100
"Mesorhizobium_ciceri_WSM1271__MESCI_RS29070__NC_014923__80839"	92.4752475247525	90.6930693069307	93.4653465346535	100	90.4950495049505	93.8613861386139	92.2772277227723	93.4653465346535	93.4653465346535	100	95.8415841584158	97.029702970297	90.8910891089109	94.059405940594	90.4950495049505	93.6633663366337	93.8613861386139	90.6930693069307	90.6930693069307	90.4950495049505	90.6930693069307	90.4950495049505	95.4455445544554	91.2871287128713	90.4950495049505	90.8910891089109	90.6930693069307	90.4950495049505	90.6930693069307	96.8316831683168	93.2673267326733	90.4950495049505	100	96.2376237623762	93.8613861386139	93.8613861386139	90.6930693069307	96.039603960396	93.8613861386139	90.4950495049505	90.6930693069307	90.6930693069307	90.2970297029703	90.2970297029703	90.0990099009901	96.6336633663366	94.2574257425743	93.8613861386139	93.6633663366337	93.6633663366337	90.4950495049505	90.4950495049505	90.4950495049505	93.4653465346535	93.4653465346535	90.0990099009901	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	90.0990099009901	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	93.4653465346535	90.2970297029703	90.4950495049505	90.8910891089109	99.009900990099	94.4554455445545	96.039603960396	95.6435643564356	94.8514851485149	93.4653465346535
